show departures and arrivals in atlanta for american airlines	show departures and arrivals in atlanta for american airlines	[IN:FLIGHT show departures and arrivals in [SL:CITY_NAME atlanta ] for [SL:AIRLINE_NAME american airlines ] ]
find me the earliest flight from boston to atlanta and the latest return from atlanta to boston within the same day	find me the earliest flight from boston to atlanta and the latest return from atlanta to boston within the same day	[IN:FLIGHT find me the [SL:FLIGHT_MOD earliest ] flight from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] and the [SL:FLIGHT_MOD latest ] return from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] within the [SL:DEPART_DATE [SL:DATE_RELATIVE same ] ] day ]
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning	i want to fly from milwaukee to orlando on either wednesday evening or thursday morning	[IN:FLIGHT i want to fly from [SL:FROM_LOCATION [SL:CITY_NAME milwaukee ] ] to [SL:TO_LOCATION [SL:CITY_NAME orlando ] ] on either [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY evening ] ] [SL:OR or ] [SL:DEPART_DATE [SL:DAY_NAME thursday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY morning ] ] ]
i want a flight originating in denver going to pittsburgh and atlanta in either order	i want a flight originating in denver going to pittsburgh and atlanta in either order	[IN:FLIGHT i want a flight originating in [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] going to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] and [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] in either order ]
show me the flights from dallas to atlanta	show me the flights from dallas to atlanta	[IN:FLIGHT show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
what flights are available from denver to san francisco	what flights are available from denver to san francisco	[IN:FLIGHT what flights are available from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
what is the cost of a flight from boston to denver	what is the cost of a flight from boston to denver	[IN:AIRFARE what is the cost of a flight from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] ]
show me the earliest flight from san jose to pittsburgh that serves a snack	show me the earliest flight from san jose to pittsburgh that serves a snack	[IN:FLIGHT show me the [SL:FLIGHT_MOD earliest ] flight from [SL:FROM_LOCATION [SL:CITY_NAME san jose ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] that serves a [SL:MEAL_DESCRIPTION snack ] ]
could you please give me the round trip fare from denver to atlanta	could you please give me the round trip fare from denver to atlanta	[IN:AIRFARE could you please give me the [SL:ROUND_TRIP round trip ] fare from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
do you have a flight leaving boston at 645 am going to washington	do you have a flight leaving boston at 645 am going to washington	[IN:FLIGHT do you have a flight leaving [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] at [SL:DEPART_TIME [SL:TIME 645 am ] ] going to [SL:TO_LOCATION [SL:CITY_NAME washington ] ] ]
"what are all the flights into atlanta""s airport"	"what are all the flights into atlanta""s airport"	[IN:FLIGHT what are all the flights into [SL:TO_LOCATION [SL:CITY_NAME atlanta's ] ] airport ]
show me the flights from atlanta to denver on friday	show me the flights from atlanta to denver on friday	[IN:FLIGHT show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] on [SL:DEPART_DATE [SL:DAY_NAME friday ] ] ]
what does fare code qx mean	what does fare code qx mean	[IN:ABBREVIATION what does fare code [SL:FARE_BASIS_CODE qx ] mean ]
i would like information on twa flights from washington to philadelphia	i would like information on twa flights from washington to philadelphia	[IN:FLIGHT i would like information on [SL:AIRLINE_CODE twa ] flights from [SL:FROM_LOCATION [SL:CITY_NAME washington ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] ]
which airlines fly from boston to washington dc but stopover in some other city	which airlines fly from boston to washington dc but stopover in some other city	[IN:AIRLINE which airlines fly from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME washington ] ] [SL:TO_LOCATION [SL:STATE_CODE dc ] ] but stopover in some other city ]
ground transportation in oakland	ground transportation in oakland	[IN:GROUND_SERVICE ground transportation in [SL:CITY_NAME oakland ] ]
list all afternoon flights on united airlines from san francisco to denver	list all afternoon flights on united airlines from san francisco to denver	[IN:FLIGHT list all [SL:DEPART_TIME [SL:PERIOD_OF_DAY afternoon ] ] flights on [SL:AIRLINE_NAME united airlines ] from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] ]
show me all flights from san francisco to pittsburgh on a monday	show me all flights from san francisco to pittsburgh on a monday	[IN:FLIGHT show me all flights from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] on a [SL:DEPART_DATE [SL:DAY_NAME monday ] ] ]
what is the latest flight leaving boston to denver	what is the latest flight leaving boston to denver	[IN:FLIGHT what is the [SL:FLIGHT_MOD latest ] flight leaving [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] ]
okay i would like to know the type of aircraft used on a flight from cleveland to dallas please	okay i would like to know the type of aircraft used on a flight from cleveland to dallas please	[IN:AIRCRAFT okay i would like to know the type of aircraft used on a flight from [SL:FROM_LOCATION [SL:CITY_NAME cleveland ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] please ]
please show me the flights from las vegas to detroit on the twenty eighth	please show me the flights from las vegas to detroit on the twenty eighth	[IN:FLIGHT please show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME las vegas ] ] to [SL:TO_LOCATION [SL:CITY_NAME detroit ] ] on the [SL:DEPART_DATE [SL:DAY_NUMBER twenty eighth ] ] ]
what airlines fly from st. petersburg to milwaukee and from milwaukee to tacoma	what airlines fly from st. petersburg to milwaukee and from milwaukee to tacoma	[IN:AIRLINE what airlines fly from [SL:FROM_LOCATION [SL:CITY_NAME st. petersburg ] ] to [SL:TO_LOCATION [SL:CITY_NAME milwaukee ] ] and from [SL:FROM_LOCATION [SL:CITY_NAME milwaukee ] ] to [SL:TO_LOCATION [SL:CITY_NAME tacoma ] ] ]
"i""d like to take a flight that begins in boston and lands at dallas fort worth but i""d like to stop over in philadelphia"	"i""d like to take a flight that begins in boston and lands at dallas fort worth but i""d like to stop over in philadelphia"	[IN:FLIGHT i'd like to take a flight that begins in [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] and lands at [SL:TO_LOCATION [SL:CITY_NAME dallas fort worth ] ] but i'd like to stop over in [SL:STOP_LOCATION [SL:CITY_NAME philadelphia ] ] ]
give me the earliest flight tomorrow on united airlines from st. petersburg to milwaukee	give me the earliest flight tomorrow on united airlines from st. petersburg to milwaukee	[IN:FLIGHT give me the [SL:FLIGHT_MOD earliest ] flight [SL:DEPART_DATE [SL:TODAY_RELATIVE tomorrow ] ] on [SL:AIRLINE_NAME united airlines ] from [SL:FROM_LOCATION [SL:CITY_NAME st. petersburg ] ] to [SL:TO_LOCATION [SL:CITY_NAME milwaukee ] ] ]
american airlines from denver to milwaukee	american airlines from denver to milwaukee	[IN:FLIGHT [SL:AIRLINE_NAME american airlines ] from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME milwaukee ] ] ]
what flight is available at noontime from boston to washington what flight is available around noontime from boston to washington	what flight is available at noontime from boston to washington what flight is available around noontime from boston to washington	[IN:FLIGHT what flight is available at [SL:DEPART_TIME [SL:TIME noontime ] ] from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME washington ] ] what flight is available [SL:DEPART_TIME [SL:TIME_RELATIVE around ] ] [SL:DEPART_TIME [SL:TIME noontime ] ] from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME washington ] ] ]
i need a return flight from philadelphia to boston	i need a return flight from philadelphia to boston	[IN:FLIGHT i need a return flight from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] ]
northwest flights with stops in denver	northwest flights with stops in denver	[IN:FLIGHT [SL:AIRLINE_NAME northwest ] flights with stops in [SL:STOP_LOCATION [SL:CITY_NAME denver ] ] ]
what is the first class fare from baltimore to dallas	what is the first class fare from baltimore to dallas	[IN:AIRFARE what is the [SL:CLASS_TYPE first class ] fare from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] ]
could you please tell me the airlines that fly from toronto to san diego	could you please tell me the airlines that fly from toronto to san diego	[IN:AIRLINE could you please tell me the airlines that fly from [SL:FROM_LOCATION [SL:CITY_NAME toronto ] ] to [SL:TO_LOCATION [SL:CITY_NAME san diego ] ] ]
what is the earliest flight from memphis to cincinnati on june thirtieth	what is the earliest flight from memphis to cincinnati on june thirtieth	[IN:FLIGHT what is the [SL:FLIGHT_MOD earliest ] flight from [SL:FROM_LOCATION [SL:CITY_NAME memphis ] ] to [SL:TO_LOCATION [SL:CITY_NAME cincinnati ] ] on [SL:DEPART_DATE [SL:MONTH_NAME june ] ] [SL:DEPART_DATE [SL:DAY_NUMBER thirtieth ] ] ]
show me the nonstop flights from dallas to houston	show me the nonstop flights from dallas to houston	[IN:FLIGHT show me the [SL:FLIGHT_STOP nonstop ] flights from [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME houston ] ] ]
show me economy fares from dallas to baltimore	show me economy fares from dallas to baltimore	[IN:AIRFARE show me [SL:ECONOMY economy ] fares from [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] ]
i would like a flight on continental airlines on august twentieth from washington to pittsburgh	i would like a flight on continental airlines on august twentieth from washington to pittsburgh	[IN:FLIGHT i would like a flight on [SL:AIRLINE_NAME continental airlines ] on [SL:DEPART_DATE [SL:MONTH_NAME august ] ] [SL:DEPART_DATE [SL:DAY_NUMBER twentieth ] ] from [SL:FROM_LOCATION [SL:CITY_NAME washington ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] ]
do you have a flight on wednesday from denver to washington dc nonstop	do you have a flight on wednesday from denver to washington dc nonstop	[IN:FLIGHT do you have a flight on [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME washington ] ] [SL:TO_LOCATION [SL:STATE_CODE dc ] ] [SL:FLIGHT_STOP nonstop ] ]
what is ewr	what is ewr	[IN:ABBREVIATION what is [SL:AIRPORT_CODE ewr ] ]
i want to fly boston to san francisco	i want to fly boston to san francisco	[IN:FLIGHT i want to fly [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
what flight leaves dallas for atlanta on august twenty seventh in the evening	what flight leaves dallas for atlanta on august twenty seventh in the evening	[IN:FLIGHT what flight leaves [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] for [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] on [SL:DEPART_DATE [SL:MONTH_NAME august ] ] [SL:DEPART_DATE [SL:DAY_NUMBER twenty seventh ] ] in the [SL:DEPART_TIME [SL:PERIOD_OF_DAY evening ] ] ]
wednesday morning flights between baltimore and newark	wednesday morning flights between baltimore and newark	[IN:FLIGHT [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY morning ] ] flights between [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] and [SL:TO_LOCATION [SL:CITY_NAME newark ] ] ]
show me flights from dallas to pittsburgh	show me flights from dallas to pittsburgh	[IN:FLIGHT show me flights from [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] ]
what flights are there arriving in chicago on continental after 11 pm	what flights are there arriving in chicago on continental after 11 pm	[IN:FLIGHT what flights are there arriving in [SL:TO_LOCATION [SL:CITY_NAME chicago ] ] on [SL:AIRLINE_NAME continental ] [SL:ARRIVE_TIME [SL:TIME_RELATIVE after ] ] [SL:ARRIVE_TIME [SL:TIME 11 pm ] ] ]
what is the lowest cost fare that delta has between boston and san francisco	what is the lowest cost fare that delta has between boston and san francisco	[IN:AIRFARE what is the [SL:COST_RELATIVE lowest cost ] fare that [SL:AIRLINE_NAME delta ] has between [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] and [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
"i""d like to go from boston to san francisco"	"i""d like to go from boston to san francisco"	[IN:FLIGHT i'd like to go from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
round trip air fares from pittsburgh to philadelphia less than 1000 dollars	round trip air fares from pittsburgh to philadelphia less than 1000 dollars	[IN:AIRFARE [SL:ROUND_TRIP round trip ] air fares from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] [SL:COST_RELATIVE less ] than [SL:FARE_AMOUNT 1000 dollars ] ]
does any airline have a jet flight between pittsburgh and baltimore	does any airline have a jet flight between pittsburgh and baltimore	[IN:AIRLINE does any airline have a jet flight between [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] and [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] ]
what is mco	what is mco	[IN:ABBREVIATION what is [SL:AIRPORT_CODE mco ] ]
show me the flights from newark new jersey to ontario international next saturday	show me the flights from newark new jersey to ontario international next saturday	[IN:FLIGHT show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME newark ] ] [SL:FROM_LOCATION [SL:STATE_NAME new jersey ] ] to [SL:TO_LOCATION [SL:AIRPORT_NAME ontario international ] ] [SL:DEPART_DATE [SL:DATE_RELATIVE next ] ] [SL:DEPART_DATE [SL:DAY_NAME saturday ] ] ]
i want to fly from dallas fort worth to philadelphia	i want to fly from dallas fort worth to philadelphia	[IN:FLIGHT i want to fly from [SL:FROM_LOCATION [SL:CITY_NAME dallas fort worth ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] ]
show me flights between new york city and las vegas	show me flights between new york city and las vegas	[IN:FLIGHT show me flights between [SL:FROM_LOCATION [SL:CITY_NAME new york city ] ] and [SL:TO_LOCATION [SL:CITY_NAME las vegas ] ] ]
how long does it take to get from atlanta airport into the city of atlanta	how long does it take to get from atlanta airport into the city of atlanta	[IN:DISTANCE how long does it take to get from [SL:FROM_LOCATION [SL:AIRPORT_NAME atlanta airport ] ] into the city of [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
show me all first class prices from dallas to baltimore	show me all first class prices from dallas to baltimore	[IN:AIRFARE show me all [SL:CLASS_TYPE first class ] prices from [SL:FROM_LOCATION [SL:CITY_NAME dallas ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] ]
is there a flight between san francisco and boston with a stopover in dallas fort worth	is there a flight between san francisco and boston with a stopover in dallas fort worth	[IN:FLIGHT is there a flight between [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] and [SL:TO_LOCATION [SL:CITY_NAME boston ] ] with a stopover in [SL:STOP_LOCATION [SL:CITY_NAME dallas fort worth ] ] ]
show me ground transportation information for san francisco	show me ground transportation information for san francisco	[IN:GROUND_SERVICE show me ground transportation information for [SL:CITY_NAME san francisco ] ]
