domain	utterance	seqlogical
reminder	I don't want to oversleep for my class, so can you set my reminder for 9 am?	[IN:CREATE_REMINDER I don't want to oversleep for [SL:TODO my class ] [SL:PERSON_REMINDED ] , so can you set my reminder [SL:DATE_TIME for 9 am ] ? ]
reminder	Remind me about the confirmation meeting on the 15th at 6:30 PM.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] about [SL:TODO the confirmation meeting ] [SL:DATE_TIME on the 15th at 6 : 30 PM ] . ]
reminder	Remind me the flight tomorrow at 6am	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] [SL:TODO the flight ] [SL:DATE_TIME tomorrow at 6 am ] ]
reminder	display today's reminders	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER display ] [SL:DATE_TIME today ] 's reminders ]
reminder	List current reminders.	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER List ] current reminders . ]
reminder	Change the PTA meeting from 6pm to 7pm on Saturday.	[IN:UPDATE_REMINDER_DATE_TIME Change [SL:TODO the PTA meeting ] from [SL:DATE_TIME 6 pm ] to [SL:DATE_TIME_NEW 7 pm on Saturday ] . ]
reminder	Find the reminder for the cat's vet visit in November.	[IN:GET_REMINDER Find the reminder for [SL:TODO the cat 's vet visit ] [SL:DATE_TIME in November ] . ]
reminder	Delete the 7:15 PM reminder about Jessica's baby shower.	[IN:DELETE_REMINDER Delete the [SL:DATE_TIME 7 : 15 PM ] reminder about [SL:TODO Jessica 's baby shower ] . ]
reminder	Change interivew reminder to 2pm	[IN:UPDATE_REMINDER_DATE_TIME Change [SL:TODO interivew ] reminder [SL:DATE_TIME_NEW to 2 pm ] ]
reminder	Please change all of Ray's chore reminders to include trimming the bushes	[IN:UPDATE_REMINDER_TODO Please change [SL:AMOUNT all ] of [SL:PERSON_REMINDED Ray ] 's [SL:TODO chore ] reminders to include [SL:TODO_NEW trimming the bushes ] ]
reminder	remind me to check pie in 55 minutes	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO check pie ] [SL:DATE_TIME in 55 minutes ] ]
reminder	Remind me daily to buy a present for Papa before July 28th.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY daily ] ] ] to [SL:TODO [IN:GET_TODO [SL:TODO buy a present for Papa ] [SL:DATE_TIME before July 28th ] ] ] . ]
reminder	back to school event create reminder	[IN:CREATE_REMINDER [SL:TODO back to school event ] create reminder ]
reminder	show my shopping reminder	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER show ] [SL:PERSON_REMINDED my ] [SL:TODO shopping ] reminder ]
reminder	Set bedtime reminder for my son starting August 20th.	[IN:CREATE_REMINDER Set [SL:TODO bedtime ] reminder for [SL:PERSON_REMINDED [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION son ] ] ] [SL:DATE_TIME starting August 20th ] . ]
reminder	Remind me to buy milk	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO buy milk ] ]
reminder	Take off all the alerts about visiting my doctor and therapy.	[IN:DELETE_REMINDER Take off [SL:AMOUNT all ] the alerts about [SL:TODO visiting my doctor ] and [SL:TODO therapy ] . ]
reminder	Remind me that the school's open house starts at 10 am Wednesday	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] that [SL:TODO the school 's open house starts ] [SL:DATE_TIME at 10 am Wednesday ] ]
reminder	remind me to get gas for the lawn mower tomorrow	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO get gas for the lawn mower ] [SL:DATE_TIME tomorrow ] ]
reminder	dinner plans have changed to 8:30, please change my reminder	[IN:UPDATE_REMINDER_DATE_TIME [SL:TODO dinner plans ] have changed [SL:DATE_TIME_NEW to 8 : 30 ] , please change [SL:PERSON_REMINDED my ] reminder ]
reminder	set a reminder for my homework assignment	[IN:CREATE_REMINDER set a reminder for [SL:PERSON_REMINDED my ] [SL:TODO homework assignment ] ]
reminder	Remind me to grab my son's lunch every morning.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO grab my son 's lunch ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY every morning ] ] ] . ]
reminder	Can you remind me every day at 1:30 PM to look for jobs for Alesha.	[IN:CREATE_REMINDER Can you remind [SL:PERSON_REMINDED me ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY every day ] [SL:DATE_TIME at 1 : 30 PM ] ] ] to [SL:TODO look for jobs for Alesha ] . ]
reminder	remind my cooking group to bring meat tonight	[IN:CREATE_REMINDER remind my [SL:PERSON_REMINDED cooking ] group to [SL:TODO bring meat ] [SL:DATE_TIME tonight ] ]
reminder	set am alarm for the next to weeks to remind me daily to feed the neighbors cat.	[IN:CREATE_REMINDER set am alarm [SL:DATE_TIME for the next to weeks ] to remind [SL:PERSON_REMINDED me ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY daily ] ] ] to [SL:TODO feed the neighbors cat ] . ]
reminder	please delete my reminders for the remainder of the week	[IN:DELETE_REMINDER please delete [SL:PERSON_REMINDED my ] reminders [SL:DATE_TIME for the remainder of the week ] ]
reminder	Please remind me to order Kali's school supplies before Friday.	[IN:CREATE_REMINDER Please remind [SL:PERSON_REMINDED me ] to [SL:TODO order Kali 's school supplies ] [SL:DATE_TIME before Friday ] . ]
reminder	any reminder?	[IN:GET_REMINDER any reminder ? ]
reminder	Where is my reminder for the work that needs to be done on my car	[IN:GET_REMINDER Where is [SL:PERSON_REMINDED my ] reminder for [SL:TODO the work that needs to be done on my car ] ]
reminder	I need to submit my HOA payment at 3 tomorrow afternoon. Can you remind me?	[IN:CREATE_REMINDER I need to [SL:TODO [IN:GET_TODO [SL:TODO submit my HOA payment ] [SL:DATE_TIME at 3 tomorrow afternoon ] ] ] . Can you remind [SL:PERSON_REMINDED me ] ? ]
reminder	Remind the girls to get gas prices to enter in Gas Buddy daily	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED the girls ] to [SL:TODO get gas prices to enter in Gas Buddy ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY daily ] ] ] ]
reminder	Delete the last reminder I set.	[IN:DELETE_REMINDER Delete the [SL:ORDINAL last ] reminder [SL:PERSON_REMINDED I ] set . ]
reminder	Cancel that reminder about the meeting Monday night--it's been canceled.	[IN:DELETE_REMINDER Cancel that reminder about [SL:TODO [IN:GET_TODO [SL:TODO the meeting ] [SL:DATE_TIME Monday night ] ] ] - - it 's been canceled . ]
reminder	What are my reminders for Wednesday?	[IN:GET_REMINDER What are [SL:PERSON_REMINDED my ] reminders [SL:DATE_TIME for Wednesday ] ? ]
reminder	remove reminder to do homework	[IN:DELETE_REMINDER remove reminder to [SL:TODO do homework ] ]
reminder	Remind my brother to update all the systems before his departure this evening.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION brother ] ] ] to [SL:TODO update all the systems before his departure ] [SL:DATE_TIME this evening ] . ]
reminder	Show me all swim meet reminders in September	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Show ] [SL:PERSON_REMINDED me ] [SL:AMOUNT all ] [SL:TODO swim meet ] reminders [SL:DATE_TIME in September ] ]
reminder	Show that reminder I made for the Doctor's tomorrow.	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Show ] that reminder [SL:PERSON_REMINDED I ] made for [SL:TODO the Doctor 's ] [SL:DATE_TIME tomorrow ] . ]
reminder	remove the reminder for the oil change Thursday	[IN:DELETE_REMINDER remove the reminder for [SL:TODO the oil change ] [SL:DATE_TIME Thursday ] ]
reminder	What i my reminders for the kids	[IN:GET_REMINDER What i [SL:PERSON_REMINDED my ] reminders for [SL:TODO the kids ] ]
reminder	Delete the bridal shower reminder for Aimee.	[IN:DELETE_REMINDER Delete the [SL:TODO bridal shower ] reminder for [SL:PERSON_REMINDED Aimee ] . ]
reminder	Are there any reminders for dinner next week with Mom?	[IN:GET_REMINDER Are there any reminders for [SL:TODO [IN:GET_TODO [SL:TODO dinner ] [SL:DATE_TIME next week ] with [SL:ATTENDEE [IN:GET_CONTACT [SL:TYPE_RELATION Mom ] ] ] ] ] ? ]
reminder	erase my last reminder added	[IN:DELETE_REMINDER erase [SL:PERSON_REMINDED my ] [SL:ORDINAL last ] reminder added ]
reminder	Add reminder to clean baseboards and windows once a month	[IN:CREATE_REMINDER Add reminder to [SL:TODO clean baseboards and windows ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY once a month ] ] ] ]
reminder	Do I have any reminders set for next week?	[IN:GET_REMINDER Do [SL:PERSON_REMINDED I ] have any reminders set [SL:DATE_TIME for next week ] ? ]
reminder	What location is my reminder at for tomorrow?	[IN:GET_REMINDER_LOCATION What location is [SL:PERSON_REMINDED my ] reminder at [SL:DATE_TIME for tomorrow ] ? ]
reminder	Delete my reminder to pay ATAP business taxes	[IN:DELETE_REMINDER Delete [SL:PERSON_REMINDED my ] reminder to [SL:TODO pay ATAP business taxes ] ]
reminder	Remind me to send Jeremy a text asking him when is his train leaving	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO [IN:SEND_MESSAGE send [SL:RECIPIENT Jeremy ] a text asking him [SL:CONTENT_EXACT when is his train leaving ] ] ] ]
reminder	only show reminders for today	[IN:GET_REMINDER only [SL:METHOD_RETRIEVAL_REMINDER show ] reminders [SL:DATE_TIME for today ] ]
reminder	I created 2 reminders about Mike's party so please delete one of them.	[IN:DELETE_REMINDER I created 2 reminders about [SL:TODO Mike 's party ] so please delete [SL:AMOUNT one ] of them . ]
reminder	How long do I have before my next reminder?	[IN:GET_REMINDER_DATE_TIME How long do I have before [SL:PERSON_REMINDED my ] [SL:ORDINAL next ] reminder ? ]
reminder	Find me reminders about parties in the next couple weeks	[IN:GET_REMINDER Find [SL:PERSON_REMINDED me ] reminders about [SL:TODO parties ] [SL:DATE_TIME in the next couple weeks ] ]
reminder	Show me next week's travel reminders.	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Show ] [SL:PERSON_REMINDED me ] [SL:DATE_TIME next week ] 's [SL:TODO travel ] reminders . ]
reminder	Cancel my reminder for my eye appointment.	[IN:DELETE_REMINDER Cancel [SL:PERSON_REMINDED my ] reminder for [SL:TODO my eye appointment ] . ]
reminder	Set a reminder to pick up the birthday cake on Monday after work.	[IN:CREATE_REMINDER Set a reminder to [SL:TODO [IN:GET_TODO [SL:TODO pick up the birthday cake ] [SL:DATE_TIME on Monday ] [SL:TODO after work ] ] ] . ]
reminder	can you find me reminders of meeting times this week with Jen and Rick?	[IN:GET_REMINDER can you find me reminders of [SL:TODO [IN:GET_TODO [SL:TODO meeting times ] [SL:DATE_TIME this week ] with [SL:ATTENDEE Jen ] and [SL:ATTENDEE Rick ] ] ] ? ]
reminder	Please delete the reminder for the restaurant tomorrow	[IN:DELETE_REMINDER Please delete the reminder for [SL:TODO the restaurant ] [SL:DATE_TIME tomorrow ] ]
reminder	Read my afternoon reminders.	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Read ] [SL:PERSON_REMINDED my ] [SL:DATE_TIME afternoon ] reminders . ]
reminder	Delete the reminder to pick up my daughter from dance practice.	[IN:DELETE_REMINDER Delete the reminder to [SL:TODO pick up my daughter from dance practice ] . ]
reminder	Set up a reminder for my brother to visit grandma at 4 pm.	[IN:CREATE_REMINDER Set up a reminder for [SL:PERSON_REMINDED [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION brother ] ] ] to [SL:TODO visit grandma ] [SL:DATE_TIME at 4 pm ] . ]
reminder	Remind my brother to take his medicine at 7 am every day.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION brother ] ] ] to [SL:TODO take his medicine ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:DATE_TIME at 7 am ] [SL:FREQUENCY every day ] ] ] . ]
reminder	Send me alert to set up the coffee maker each night at 10pm.	[IN:CREATE_REMINDER Send [SL:PERSON_REMINDED me ] alert to [SL:TODO set up the coffee maker ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY each night ] [SL:DATE_TIME at 10 pm ] ] ] . ]
reminder	how many weeks are left till my next hair appointment reminder	[IN:GET_REMINDER_DATE_TIME how many weeks are left till [SL:PERSON_REMINDED my ] [SL:ORDINAL next ] [SL:TODO hair appointment ] reminder ]
reminder	I have to feed the chickens every night before 4 PM; set a reminder at 2 PM every night.	[IN:CREATE_REMINDER [SL:PERSON_REMINDED I ] have to [SL:TODO [IN:GET_TODO [SL:TODO feed the chickens ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY every night ] [SL:DATE_TIME before 4 PM ] ] ] ] ] ; set a reminder [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:DATE_TIME at 2 PM ] [SL:FREQUENCY every night ] ] ] . ]
reminder	Delete my monthly reminder to refill my prescriptions.	[IN:DELETE_REMINDER Delete [SL:PERSON_REMINDED my ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY monthly ] ] ] reminder to [SL:TODO refill my prescriptions ] . ]
reminder	Delete the reminder to check coupons on Ibotta weekly.	[IN:DELETE_REMINDER Delete the reminder to [SL:TODO check coupons on Ibotta ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY weekly ] ] ] . ]
reminder	Change Jeremy's arrival time alert to 7 pm.	[IN:UPDATE_REMINDER_DATE_TIME Change [SL:TODO Jeremy 's arrival time ] alert [SL:DATE_TIME_NEW to 7 pm ] . ]
reminder	Give me any reminders I have that involve my mother	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Give ] me any reminders [SL:PERSON_REMINDED I ] have that involve [SL:TODO my mother ] ]
reminder	where is my next reminder for 2pm	[IN:GET_REMINDER_LOCATION where is [SL:PERSON_REMINDED my ] [SL:ORDINAL next ] reminder [SL:DATE_TIME for 2 pm ] ]
reminder	Remind me to pay my internet bill the 25th of every month.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO pay my internet bill ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:DATE_TIME the 25th ] of [SL:FREQUENCY every month ] ] ] . ]
reminder	Please update the alert time from 2 to 3 on Friday for dentist	[IN:UPDATE_REMINDER_DATE_TIME Please update the alert time [SL:DATE_TIME from 2 ] [SL:DATE_TIME_NEW to 3 on Friday ] for [SL:TODO dentist ] ]
reminder	can you delete the alert for my dentist appointment tomorrow	[IN:DELETE_REMINDER can you delete the alert for [SL:PERSON_REMINDED my ] [SL:TODO dentist appointment ] [SL:DATE_TIME tomorrow ] ]
reminder	Delete the reminder for johns birthday party	[IN:DELETE_REMINDER Delete the reminder for [SL:TODO johns birthday party ] ]
reminder	Set up a recurring reminder on Fridays about the recycling	[IN:CREATE_REMINDER Set up a recurring reminder [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:DATE_TIME on Fridays ] ] ] about [SL:TODO the recycling ] ]
reminder	Do I have any reminders on Tuesday or Wednesday of next week?	[IN:GET_REMINDER Do [SL:PERSON_REMINDED I ] have any reminders [SL:DATE_TIME on Tuesday ] or [SL:DATE_TIME Wednesday of next week ] ? ]
reminder	Can you please delete my reminder for my date with Bill tonight	[IN:DELETE_REMINDER Can you please delete [SL:PERSON_REMINDED my ] reminder for [SL:TODO [IN:GET_TODO [SL:TODO my date ] with [SL:ATTENDEE Bill ] ] ] [SL:DATE_TIME tonight ] ]
reminder	erase all reminders	[IN:DELETE_REMINDER erase [SL:AMOUNT all ] reminders ]
reminder	Remind Mike and Cindy to leave at 5 pm. Alert them 1 hour before.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED Mike ] and [SL:PERSON_REMINDED Cindy ] to [SL:TODO [IN:GET_TODO [SL:TODO leave ] [SL:DATE_TIME at 5 pm ] ] ] . Alert them [SL:DATE_TIME 1 hour before ] . ]
reminder	I want to see last week's phone call reminders.	[IN:GET_REMINDER I want to see [SL:DATE_TIME last week ] 's [SL:TODO phone call ] reminders . ]
reminder	Update my meeting alert for 10 AM.	[IN:UPDATE_REMINDER_DATE_TIME Update [SL:PERSON_REMINDED my ] [SL:TODO meeting ] alert [SL:DATE_TIME_NEW for 10 AM ] . ]
reminder	Set a weekly reminder to take my B12 shot before bed.	[IN:CREATE_REMINDER Set a [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY weekly ] ] ] reminder to [SL:TODO take my B12 shot before bed ] . ]
reminder	sally has to go straight to practice after the dentist, so can you add that also to the reminder	[IN:UPDATE_REMINDER_TODO [SL:TODO_NEW sally has to go straight to practice after the dentist ] , so can you add that also to the reminder ]
reminder	Remind me to take my pill every night at 10:00 pm	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO take my pill ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY every night ] [SL:DATE_TIME at 10 : 00 pm ] ] ] ]
reminder	How many minutes left on my reminder for today	[IN:GET_REMINDER_DATE_TIME How many minutes left on [SL:PERSON_REMINDED my ] reminder [SL:DATE_TIME for today ] ]
reminder	Show me how I can see all of my reminders	[IN:HELP_REMINDER Show me how I can see all of my reminders ]
reminder	Set up weekly reminder to take garbage to the curb starting Tuesday at 10pm	[IN:CREATE_REMINDER Set up [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY weekly ] ] ] reminder to [SL:TODO [IN:GET_TODO [SL:TODO take garbage to the curb ] starting [SL:DATE_TIME Tuesday at 10 pm ] ] ] ]
reminder	cancel all travel reminders	[IN:DELETE_REMINDER cancel [SL:AMOUNT all ] [SL:TODO travel ] reminders ]
reminder	set a reminder for my get together with Alex	[IN:CREATE_REMINDER set a reminder for [SL:TODO [IN:GET_TODO [SL:TODO my get together ] with [SL:ATTENDEE Alex ] ] ] ]
reminder	remind me to take recycles out every Wednesday and trash every thursday.	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO [IN:GET_TODO [SL:TODO take recycles out ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY every ] [SL:DATE_TIME Wednesday ] ] ] ] ] and [SL:TODO trash ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY every ] [SL:DATE_TIME thursday ] ] ] . ]
reminder	Add an alert 2 hours before the tennis game with Ellie.	[IN:CREATE_REMINDER Add an alert [SL:DATE_TIME 2 hours before ] [SL:TODO [IN:GET_TODO [SL:TODO the tennis game ] with [SL:ATTENDEE Ellie ] ] ] . ]
reminder	Change my work hours reminder to 8pm this evening	[IN:UPDATE_REMINDER_DATE_TIME Change [SL:PERSON_REMINDED my ] [SL:TODO work hours ] reminder [SL:DATE_TIME_NEW to 8 pm this evening ] ]
reminder	Set up a bi-weekly reminder about my Home Owner's Association meetings.	[IN:CREATE_REMINDER Set up a [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY bi - weekly ] ] ] reminder about [SL:TODO my Home Owner 's Association meetings ] . ]
reminder	change my reminder for the class project to thursday.	[IN:UPDATE_REMINDER_DATE_TIME change [SL:PERSON_REMINDED my ] reminder for [SL:TODO the class project ] [SL:DATE_TIME_NEW to thursday ] . ]
reminder	Cancel that reminder about my doctor's appointment.	[IN:DELETE_REMINDER Cancel that reminder about [SL:PERSON_REMINDED my ] [SL:TODO doctor 's appointment ] . ]
reminder	Delete the reminder about tomorrow's concert since I can't go.	[IN:DELETE_REMINDER Delete the reminder about [SL:TODO [IN:GET_TODO [SL:DATE_TIME tomorrow ] 's [SL:TODO concert ] ] ] since I can't go . ]
reminder	Set up a reminder for Aiden feed the dogs twice a day.	[IN:CREATE_REMINDER Set up a reminder for [SL:PERSON_REMINDED Aiden ] [SL:TODO feed the dogs ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY twice a day ] ] ] . ]
reminder	show me my reminders for next week.	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER show ] me [SL:PERSON_REMINDED my ] reminders [SL:DATE_TIME for next week ] . ]
reminder	List all reminders for October for Johnathan's clients only.	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER List ] [SL:AMOUNT all ] reminders [SL:DATE_TIME for October ] for [SL:PERSON_REMINDED Johnathan 's clients ] only . ]
reminder	Change replacing batteries reminder to Sunday from Saturday and alert me an hour before.	[IN:UPDATE_REMINDER_DATE_TIME Change [SL:TODO replacing batteries ] reminder [SL:DATE_TIME_NEW to Sunday ] [SL:DATE_TIME from Saturday ] and alert [SL:PERSON_REMINDED me ] [SL:DATE_TIME_NEW an hour before ] . ]
reminder	Remove the reminder to set an annual appointment with the dentist	[IN:DELETE_REMINDER Remove the reminder to [SL:TODO [IN:GET_TODO [SL:TODO set ] an [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY annual ] ] ] [SL:TODO appointment with the dentist ] ] ] ]
reminder	Give me all reminders for this week.	[IN:GET_REMINDER Give [SL:PERSON_REMINDED me ] [SL:AMOUNT all ] reminders [SL:DATE_TIME for this week ] . ]
reminder	What was my last reminder?	[IN:GET_REMINDER What was [SL:PERSON_REMINDED my ] [SL:ORDINAL last ] reminder ? ]
reminder	Read me reminders from the 7 of May	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Read ] [SL:PERSON_REMINDED me ] reminders [SL:DATE_TIME from the 7 of May ] ]
reminder	I don't want to miss my show at 9 pm; can you alert me 20 minutes before?	[IN:CREATE_REMINDER I don't want to miss [SL:TODO [IN:GET_TODO [SL:TODO my show ] [SL:DATE_TIME at 9 pm ] ] ] ; can you alert [SL:PERSON_REMINDED me ] [SL:DATE_TIME 20 minutes before ] ? ]
reminder	Remind me the first Tuesday of every month that bulk trash pick up is the next morning.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:DATE_TIME the first Tuesday ] of [SL:FREQUENCY every month ] ] ] that [SL:TODO [IN:GET_TODO [SL:TODO bulk trash pick up ] is [SL:DATE_TIME the next morning ] ] ] . ]
reminder	remind me to text Kathy about the party.	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO [IN:SEND_MESSAGE text [SL:RECIPIENT Kathy ] about [SL:CONTENT_EXACT [IN:GET_EVENT [SL:CATEGORY_EVENT the party ] ] ] ] ] . ]
reminder	Can you remind my husband to go shopping?	[IN:CREATE_REMINDER Can you remind [SL:PERSON_REMINDED [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION husband ] ] ] to [SL:TODO go shopping ] ? ]
reminder	Set up an alert for every night at 9pm to set the house alarm.	[IN:CREATE_REMINDER Set up an alert for [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY every night ] [SL:DATE_TIME at 9 pm ] ] ] to [SL:TODO set the house alarm ] . ]
reminder	play all reminders for today	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER play ] [SL:AMOUNT all ] reminders [SL:DATE_TIME for today ] ]
reminder	Set the reminder to pay bill on the 15th each month.	[IN:CREATE_REMINDER Set the reminder to [SL:TODO pay bill ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:DATE_TIME on the 15th ] [SL:FREQUENCY each month ] ] ] . ]
reminder	change the time of my weekly Friday 9 pm reminder to Saturday at 9 am	[IN:UPDATE_REMINDER_DATE_TIME change the time of [SL:PERSON_REMINDED my ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY weekly ] [SL:DATE_TIME Friday 9 pm ] ] ] reminder [SL:DATE_TIME_NEW to Saturday at 9 am ] ]
reminder	remind me Sunday at 8pm the plumber is coming in the morning.	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] [SL:DATE_TIME Sunday at 8 pm ] [SL:TODO [IN:GET_TODO [SL:TODO the plumber is coming ] [SL:DATE_TIME in the morning ] ] ] . ]
reminder	Change reminder alert to next week.	[IN:UPDATE_REMINDER_DATE_TIME Change reminder alert [SL:DATE_TIME_NEW to next week ] . ]
