domain	utterance	seqlogical
weather	Is it around 72 in degree celsius karachi tonight	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE around ] [SL:WEATHER_ATTRIBUTE 72 ] in degree [SL:WEATHER_TEMPERATURE_UNIT celsius ] [SL:LOCATION karachi ] [SL:DATE_TIME tonight ] ]
weather	What time will the sun set in Tokyo tomorrow	[IN:GET_SUNSET What time will the sun set in [SL:LOCATION Tokyo ] [SL:DATE_TIME tomorrow ] ]
weather	What is the record low so far this year	[IN:UNSUPPORTED_WEATHER What is the record low so far [SL:DATE_TIME this year ] ]
weather	How much rainfall has Albuquerque New Mexico received this year	[IN:UNSUPPORTED_WEATHER How much [SL:WEATHER_ATTRIBUTE rainfall ] has [SL:LOCATION Albuquerque New Mexico ] received [SL:DATE_TIME this year ] ]
weather	Temperature near Boston tomorrow morning Celsius	[IN:GET_WEATHER Temperature near [SL:LOCATION Boston ] [SL:DATE_TIME tomorrow morning ] [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ]
weather	what is the pollen level right now	[IN:UNSUPPORTED_WEATHER what is the [SL:WEATHER_ATTRIBUTE pollen ] level right now ]
weather	What is the temperature right now in Celsius and Fahrenheit?	[IN:GET_WEATHER What is the temperature right now in [SL:WEATHER_TEMPERATURE_UNIT Celsius ] and [SL:WEATHER_TEMPERATURE_UNIT Fahrenheit ] ? ]
weather	Temperature next week for Madrid Celsius	[IN:GET_WEATHER Temperature [SL:DATE_TIME next week ] for [SL:LOCATION Madrid ] [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ]
weather	Temperature tonight for Houston c	[IN:GET_WEATHER Temperature [SL:DATE_TIME tonight ] for [SL:LOCATION Houston ] [SL:WEATHER_TEMPERATURE_UNIT c ] ]
weather	Will there be an earthquake anytime soon	[IN:UNSUPPORTED_WEATHER Will there be an earthquake anytime soon ]
weather	How low do temperatures drop in Joshua Tree at night this time of year	[IN:UNSUPPORTED_WEATHER How low do temperatures drop in Joshua Tree [SL:DATE_TIME at night ] this time of year ]
weather	How many mm of rain are we expecting this evening.	[IN:GET_WEATHER How many [SL:MEASUREMENT_UNIT mm ] of [SL:WEATHER_ATTRIBUTE rain ] are we expecting [SL:DATE_TIME this evening ] . ]
weather	How cold is it tomorrow morning near Karachi in celsius	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE cold ] is it [SL:DATE_TIME tomorrow morning ] near [SL:LOCATION Karachi ] in [SL:WEATHER_TEMPERATURE_UNIT celsius ] ]
weather	What is the Dew Point in Kentucky today	[IN:UNSUPPORTED_WEATHER What is the [SL:WEATHER_ATTRIBUTE Dew Point ] in [SL:LOCATION Kentucky ] [SL:DATE_TIME today ] ]
weather	What city has the most sunny days in 2017	[IN:UNSUPPORTED_WEATHER What city has the most [SL:WEATHER_ATTRIBUTE sunny ] days in 2017 ]
weather	Time of sundown?	[IN:GET_SUNSET Time of sundown ? ]
weather	How hot is it mumbai tonight in degree Celcius	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] is it [SL:LOCATION mumbai ] [SL:DATE_TIME tonight ] in degree [SL:WEATHER_TEMPERATURE_UNIT Celcius ] ]
weather	How many hurricanes have hit Florida this year	[IN:UNSUPPORTED_WEATHER How many hurricanes have hit [SL:LOCATION Florida ] [SL:DATE_TIME this year ] ]
weather	What is the next named hurricane	[IN:UNSUPPORTED_WEATHER What is the next named [SL:WEATHER_ATTRIBUTE hurricane ] ]
weather	What will be the minimum temperature in Celsius?	[IN:GET_WEATHER What will be the minimum temperature in [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ? ]
weather	How warm is it this weekend in f	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE warm ] is it [SL:DATE_TIME this weekend ] in [SL:WEATHER_TEMPERATURE_UNIT f ] ]
weather	when will spring start	[IN:UNSUPPORTED_WEATHER when will [SL:DATE_TIME spring ] start ]
weather	Will it be above 86 in degree F here next week	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE above ] [SL:WEATHER_ATTRIBUTE 86 ] in degree [SL:WEATHER_TEMPERATURE_UNIT F ] [SL:LOCATION here ] [SL:DATE_TIME next week ] ]
weather	How hot is it around San Francisco tonight in Celsius	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] is it around [SL:LOCATION San Francisco ] [SL:DATE_TIME tonight ] in [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ]
weather	What time is the sunrise tomorrow	[IN:GET_SUNRISE What time is the sunrise [SL:DATE_TIME tomorrow ] ]
weather	Temperature in Shanghai today F	[IN:GET_WEATHER Temperature in [SL:LOCATION Shanghai ] [SL:DATE_TIME today ] [SL:WEATHER_TEMPERATURE_UNIT F ] ]
weather	How warm is it next week for Karachi in degree celcius	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE warm ] is it [SL:DATE_TIME next week ] for [SL:LOCATION Karachi ] in degree [SL:WEATHER_TEMPERATURE_UNIT celcius ] ]
weather	How warm is it tomorrow morning c	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE warm ] is it [SL:DATE_TIME tomorrow morning ] [SL:WEATHER_TEMPERATURE_UNIT c ] ]
weather	Temperature around Chicago today f	[IN:GET_WEATHER Temperature around [SL:LOCATION Chicago ] [SL:DATE_TIME today ] [SL:WEATHER_TEMPERATURE_UNIT f ] ]
weather	Will it be below 76 in Celsius shanghai next week	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE below ] [SL:WEATHER_ATTRIBUTE 76 ] in [SL:WEATHER_TEMPERATURE_UNIT Celsius ] [SL:LOCATION shanghai ] [SL:DATE_TIME next week ] ]
weather	when is the sun setting tonight	[IN:GET_SUNSET when is the sun setting [SL:DATE_TIME tonight ] ]
weather	When is it supposed to clear up	[IN:UNSUPPORTED_WEATHER When is it supposed to [SL:WEATHER_ATTRIBUTE clear ] up ]
weather	How warm is it tomorrow morning around Palo Alto in C	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE warm ] is it [SL:DATE_TIME tomorrow morning ] around [SL:LOCATION Palo Alto ] in [SL:WEATHER_TEMPERATURE_UNIT C ] ]
weather	best time to go to new york for warm weather	[IN:UNSUPPORTED_WEATHER best time to go to [SL:LOCATION new york ] for [SL:WEATHER_ATTRIBUTE warm ] weather ]
weather	Is it below 70 degrees Celsius around Shanghai tomorrow	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE below ] [SL:WEATHER_ATTRIBUTE 70 ] degrees [SL:WEATHER_TEMPERATURE_UNIT Celsius ] around [SL:LOCATION Shanghai ] [SL:DATE_TIME tomorrow ] ]
weather	What is the rainiest place on earth	[IN:UNSUPPORTED_WEATHER What is the [SL:WEATHER_ATTRIBUTE rainiest ] place on earth ]
weather	How are the allergy reports today?	[IN:UNSUPPORTED_WEATHER How are the allergy reports [SL:DATE_TIME today ] ? ]
weather	where is the coldest place in the world right now	[IN:UNSUPPORTED_WEATHER where is the [SL:WEATHER_ATTRIBUTE coldest ] place in the world right now ]
weather	Is it hotter today in Los Angeles or San Diego?	[IN:UNSUPPORTED_WEATHER Is it [SL:WEATHER_ATTRIBUTE hotter ] [SL:DATE_TIME today ] in [SL:LOCATION Los Angeles ] or [SL:LOCATION San Diego ] ? ]
weather	What time did the sun rise today	[IN:GET_SUNRISE What time did the sun rise [SL:DATE_TIME today ] ]
weather	What's the pollen count for today?	[IN:UNSUPPORTED_WEATHER What 's the [SL:WEATHER_ATTRIBUTE pollen count ] [SL:DATE_TIME for today ] ? ]
weather	local fire report	[IN:UNSUPPORTED_WEATHER local fire report ]
weather	When is hurricane season in Mexico	[IN:UNSUPPORTED_WEATHER When is [SL:WEATHER_ATTRIBUTE hurricane ] season in Mexico ]
weather	What time does the sunset	[IN:GET_SUNSET What time does the sunset ]
weather	Is it ok for me to put the washing out today?	[IN:UNSUPPORTED_WEATHER Is it ok for me to put the washing out today ? ]
weather	when is sunset?	[IN:GET_SUNSET when is sunset ? ]
weather	what time does the sun set	[IN:GET_SUNSET what time does the sun set ]
weather	What time does the sun set today in New York	[IN:GET_SUNSET What time does the sun set [SL:DATE_TIME today ] in [SL:LOCATION New York ] ]
weather	what time does the sun set in Cape Cod	[IN:GET_SUNSET what time does the sun set in [SL:LOCATION Cape Cod ] ]
weather	What time does the sun set today	[IN:GET_SUNSET What time does the sun set [SL:DATE_TIME today ] ]
weather	when's sunrise	[IN:GET_SUNRISE when 's sunrise ]
weather	When is sunrise	[IN:GET_SUNRISE When is sunrise ]
weather	What time is sunrise tomorrow	[IN:GET_SUNRISE What time is sunrise [SL:DATE_TIME tomorrow ] ]
weather	whats the weather radar look like near me	[IN:GET_WEATHER whats the weather radar look like [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS near ] [SL:LOCATION_USER me ] ] ] ]
weather	when will sunset be	[IN:GET_SUNSET when will sunset be ]
weather	When will the sun set in Delaware	[IN:GET_SUNSET When will the sun set in [SL:LOCATION Delaware ] ]
weather	tell me when it starts getting dark outside	[IN:GET_SUNSET tell me when it starts getting dark outside ]
weather	what is the local radar forecast	[IN:GET_WEATHER what is the [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar forecast ]
weather	When will the sun set tonight	[IN:GET_SUNSET When will the sun set [SL:DATE_TIME tonight ] ]
weather	When does the sunset	[IN:GET_SUNSET When does the sunset ]
weather	can you tell me the local radar prediction	[IN:GET_WEATHER can you tell me the [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar prediction ]
weather	What time is sunrise?	[IN:GET_SUNRISE What time is sunrise ? ]
weather	when does the sun rise	[IN:GET_SUNRISE when does the sun rise ]
weather	What time does the sun rise tomorrow	[IN:GET_SUNRISE What time does the sun rise [SL:DATE_TIME tomorrow ] ]
weather	What time is Sunset tonight	[IN:GET_SUNSET What time is Sunset [SL:DATE_TIME tonight ] ]
weather	what is the weather here?	[IN:GET_WEATHER what is the weather [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] ? ]
weather	how long until the sun sets	[IN:GET_SUNSET how long until the sun sets ]
weather	What time does the sunset occur tonight	[IN:GET_SUNSET What time does the sunset occur [SL:DATE_TIME tonight ] ]
weather	what time will it start to get dark out	[IN:GET_SUNSET what time will it start to get dark out ]
weather	When is sunset today	[IN:GET_SUNSET When is sunset [SL:DATE_TIME today ] ]
weather	What time does the sun rise tomorrow	[IN:GET_SUNRISE What time does the sun rise [SL:DATE_TIME tomorrow ] ]
weather	what's the local radar like tomorrow	[IN:GET_WEATHER what 's the [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar like [SL:DATE_TIME tomorrow ] ]
weather	when does the sun set tonight	[IN:GET_SUNSET when does the sun set [SL:DATE_TIME tonight ] ]
weather	when does the sun set in California	[IN:GET_SUNSET when does the sun set in [SL:LOCATION California ] ]
weather	when does the sun set	[IN:GET_SUNSET when does the sun set ]
weather	What time does the sun set	[IN:GET_SUNSET What time does the sun set ]
weather	Do you know when sundown is tonight?	[IN:GET_SUNSET Do you know when sundown is [SL:DATE_TIME tonight ] ? ]
weather	where does the sun set	[IN:GET_SUNSET where does the sun set ]
weather	When will the sun rise today?	[IN:GET_SUNRISE When will the sun rise [SL:DATE_TIME today ] ? ]
weather	what time is the earlies a sunrise occurs	[IN:GET_SUNRISE what time is the earlies a sunrise occurs ]
weather	what time will the sun come out today	[IN:GET_SUNRISE what time will the sun come out [SL:DATE_TIME today ] ]
weather	When's sunrise	[IN:GET_SUNRISE When 's sunrise ]
weather	give me the time of sunrise for the next 3 days	[IN:GET_SUNRISE give me the time of sunrise for the [SL:DATE_TIME next 3 days ] ]
weather	What time does the sun rise in Boston, MA	[IN:GET_SUNRISE What time does the sun rise in [SL:LOCATION Boston ] , MA ]
weather	SHOW ME THE RADAR FOR MY AREA	[IN:GET_WEATHER SHOW ME THE RADAR FOR [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER MY AREA ] ] ] ]
weather	what time is sunrise	[IN:GET_SUNRISE what time is sunrise ]
weather	What time is dusk in my town	[IN:GET_SUNSET What time is dusk in [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER my town ] ] ] ]
weather	I need the local radar	[IN:GET_WEATHER I need the [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar ]
weather	when is the sunrise tomorrow?	[IN:GET_SUNRISE when is the sunrise [SL:DATE_TIME tomorrow ] ? ]
weather	tell me local radar for today	[IN:GET_WEATHER tell me [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar [SL:DATE_TIME for today ] ]
weather	what time does the sun come up	[IN:GET_SUNRISE what time does the sun come up ]
weather	What time will the sun rise in Tokyo tomorrow	[IN:GET_SUNRISE What time will the sun rise in [SL:LOCATION Tokyo ] [SL:DATE_TIME tomorrow ] ]
weather	What time is sunrise tomorrow	[IN:GET_SUNRISE What time is sunrise [SL:DATE_TIME tomorrow ] ]
weather	when is sunrise today?	[IN:GET_SUNRISE when is sunrise [SL:DATE_TIME today ] ? ]
weather	how many millimetres of rain is expected?	[IN:GET_WEATHER how many [SL:MEASUREMENT_UNIT millimetres ] of [SL:WEATHER_ATTRIBUTE rain ] is expected ? ]
weather	What time did the sunrise today	[IN:GET_SUNRISE What time did the sunrise [SL:DATE_TIME today ] ]
weather	What time is sunrise on Lake Eerie	[IN:GET_SUNRISE What time is sunrise on [SL:LOCATION Lake ] Eerie ]
weather	what time is sunrise	[IN:GET_SUNRISE what time is sunrise ]
weather	What time does the sun set this time of year in my city	[IN:GET_SUNSET What time does the sun set this time of year in [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER my city ] ] ] ]
weather	What is the forecast for this weekend at my mums?	[IN:GET_WEATHER What is the forecast [SL:DATE_TIME for this weekend ] at [SL:LOCATION [IN:GET_INFO_CONTACT [SL:CONTACT [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION mums ] ] ] ] ] ? ]
weather	Weather in current location	[IN:GET_WEATHER Weather in [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER current location ] ] ] ]
weather	show me weather radar in my area	[IN:GET_WEATHER show me weather radar in [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER my area ] ] ] ]
weather	Weather here 10th June	[IN:GET_WEATHER Weather [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] [SL:DATE_TIME 10th June ] ]
weather	gimmie that local radar readout	[IN:GET_WEATHER gimmie that [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar readout ]
weather	Can you guess the climate for next week here?	[IN:GET_WEATHER Can you guess the climate [SL:DATE_TIME for next week ] [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] ? ]
weather	How many cm of snow are we expecting?	[IN:GET_WEATHER How many [SL:MEASUREMENT_UNIT cm ] of [SL:WEATHER_ATTRIBUTE snow ] are we expecting ? ]
weather	in centimeters, how much rain will we be getting tonight	[IN:GET_WEATHER in [SL:MEASUREMENT_UNIT centimeters ] , how much [SL:WEATHER_ATTRIBUTE rain ] will we be getting [SL:DATE_TIME tonight ] ]
weather	radar for my region	[IN:GET_WEATHER radar for [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER my region ] ] ] ]
weather	Pull up the radar for my current area	[IN:GET_WEATHER Pull up the radar for [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER my current area ] ] ] ]
weather	tell me local radar	[IN:GET_WEATHER tell me [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar ]
weather	advise me on how many cm of rain is due tomorrow	[IN:GET_WEATHER advise me on how many [SL:MEASUREMENT_UNIT cm ] of [SL:WEATHER_ATTRIBUTE rain ] is due [SL:DATE_TIME tomorrow ] ]
weather	what's the local radar	[IN:GET_WEATHER what 's the [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar ]
weather	what's the radar look like in my area	[IN:GET_WEATHER what 's the radar look like in [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_USER my area ] ] ] ]
weather	tell me the local radar for tomorrow	[IN:GET_WEATHER tell me the [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER local ] ] ] radar [SL:DATE_TIME for tomorrow ] ]
